price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
325,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,9,87,1,1,2
220,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
200,Central & Western,Private room,Shared bathroom,2,1,1,1,0,60,1,0.8,369
270,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
217,Central & Western,Private room,Shared bathroom,1,1,1,1,0,50,0.96,0.77,266
1800,Central & Western,Entire home/apt,Private bathroom,4,2,3,2,0,90,0,1,1
880,Central & Western,Entire home/apt,Private bathroom,4,1,1,2,6,90,1,0.5,1
177,Central & Western,Private room,Shared bathroom,1,1,1,1,0,80,1,0.8,369
284,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
270,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
290,Central & Western,Entire home/apt,Private bathroom,1,1.5,1,0,41,90,1,1,1
283,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,100,1,0.8,369
227,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
620,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,100,0.98,0.73,101
1200,Central & Western,Entire home/apt,Private bathroom,8,2.5,4,5,6,92,0,0.5,1
151,Central & Western,Private room,Shared bathroom,1,1.5,1,1,10,94,1,1,10
300,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,100,1,0.99,1
984,Central & Western,Entire home/apt,Private bathroom,7,1,5,5,0,100,1,0.8,369
500,Central & Western,Private room,Shared bathroom,2,1,1,1,2,60,0.98,1,16
538,Central & Western,Entire home/apt,Private bathroom,5,1,1,3,80,91,1,1,1
5695,Central & Western,Private room,Shared bathroom,1,1,1,1,0,80,0.93,1,1
1720,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,6,97,1,1,1
500,Central & Western,Private room,Shared bathroom,1,1,1,1,0,90,1,0.87,1
224,Central & Western,Private room,Shared bathroom,1,1,1,1,0,80,1,0.8,369
280,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,60,1,0.8,369
495,Central & Western,Entire home/apt,Private bathroom,2,1,1,2,14,89,1,0.91,2
200,Central & Western,Private room,Shared bathroom,2,2,1,1,0,100,1,0.8,369
280,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
570,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,100,0.98,0.73,101
217,Central & Western,Private room,Shared bathroom,1,1,1,1,0,80,1,0.8,369
400,Central & Western,Private room,Shared bathroom,2,1,1,1,1,80,1,0.77,16
477,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,67,0.98,0.73,101
238,Central & Western,Private room,Shared bathroom,2,1,1,1,0,60,1,0.8,369
423,Central & Western,Private room,Shared bathroom,2,1,1,1,7,74,0,0.5,1
230,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,0,100,1,0.8,369
139,Central & Western,Private room,Shared bathroom,1,1,1,1,0,78,0.95,0.77,230
1250,Central & Western,Entire home/apt,Private bathroom,2,1,1,2,20,96,1,1,2
380,Central & Western,Private room,Shared bathroom,2,1,1,1,2,60,1,0.99,16
570,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,2,100,0.98,0.73,101
230,Central & Western,Private room,Shared bathroom,1,1,1,0,1,80,1,1,19
2500,Central & Western,Private room,Shared bathroom,2,1,1,1,0,73,1,0.33,239
257,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
759,Central & Western,Entire home/apt,Private bathroom,3,1,2,1,17,92,1,0.98,16
759,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,39,94,1,0.98,16
759,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,23,91,1,0.98,16
982,Central & Western,Entire home/apt,Private bathroom,3,1.5,1,1,18,98,1,0,2
759,Central & Western,Entire home/apt,Private bathroom,3,1,2,1,19,93,1,0.98,16
750,Central & Western,Entire home/apt,Private bathroom,2,1,2,1,9,90,0.33,0,1
2000,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,6,87,1,0.68,1
400,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,22,99,0.94,0.82,9
759,Central & Western,Entire home/apt,Private bathroom,3,1,2,1,29,91,1,0.98,16
759,Central & Western,Entire home/apt,Private bathroom,3,1,2,1,59,93,1,0.98,16
759,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,58,93,1,0.98,16
581,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,46,93,1,0.8,2
1000,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,0,97,0.83,0.69,1
238,Central & Western,Private room,Shared bathroom,1,1,1,1,0,50,0.96,0.77,266
220,Central & Western,Private room,Shared bathroom,1,1,1,0,0,90,0.96,0.77,266
209,Central & Western,Private room,Shared bathroom,2,1,1,1,0,40,0.95,0.77,230
850,Central & Western,Entire home/apt,Private bathroom,2,1,2,1,35,95,0.83,0.5,1
600,Central & Western,Entire home/apt,Private bathroom,4,1,1,1,30,92,0.94,0.82,9
1000,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,3,87,1,0.8,1
800,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,90,0.33,0,1
853,Central & Western,Shared room,Shared bathroom,2,1,1,1,0,91,1,1,1
800,Central & Western,Entire home/apt,Private bathroom,4,1,1,2,2,100,0.98,0.73,101
389,Central & Western,Hotel room,Private bathroom,1,1,1,1,17,99,1,1,6
2898,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,26,85,1,0.77,1
570,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,1,100,0.98,0.73,101
570,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,60,0.98,0.73,101
759,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,35,93,1,0.98,16
759,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,19,94,1,0.98,16
231,Central & Western,Private room,Private bathroom,1,1,1,1,0,40,0.96,0.77,266
238,Central & Western,Private room,Private bathroom,2,1,1,1,0,40,0.95,0.77,230
500,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,15,87,1,0,2
1200,Central & Western,Entire home/apt,Private bathroom,5,1,2,2,8,97,0,0.33,1
