price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
$850.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,5,100,100%,100%,1
"$3,000.00",Central & Western,Private room,0 baths,3,0 baths,,1,0,,,,1
$388.00,Central & Western,Entire home/apt,1 bath,4,1 bath,,2,66,91,98%,100%,12
$267.00,Central & Western,Entire home/apt,1 bath,1,1 bath,,1,0,,100%,80%,369
$600.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,80,100%,33%,239
$550.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,1,100,100%,90%,4
$290.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,0,0,,100%,80%,369
$250.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$216.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
"$1,291.00",Central & Western,Entire home/apt,1 bath,3,1 bath,2,2,23,98,90%,100%,1
$267.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$425.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$140.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$520.00,Central & Western,Private room,1 private bath,8,1 private bath,4,4,0,,100%,80%,369
"$1,185.00",Central & Western,Entire home/apt,1 bath,3,1 bath,1,2,2,100,100%,,2
$400.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,9,90,60%,91%,1
"$1,500.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,1,,0%,0%,2
$989.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,21,90,90%,75%,1
$267.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
"$1,400.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,0,,100%,33%,239
"$1,356.00",Central & Western,Entire home/apt,1 bath,3,1 bath,1,1,8,88,100%,,2
$450.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,80,,100%,1
$175.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,95%,77%,230
"$1,200.00",Central & Western,Private room,1 shared bath,4,1 shared bath,2,2,0,,100%,35%,225
$274.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$294.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$436.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,4,93,,,1
$399.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,8,65,14%,100%,1
$190.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$210.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
"$4,320.00",Central & Western,Entire home/apt,3 baths,8,3 baths,3,5,3,93,100%,0%,2
$274.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$690.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,11,89,60%,60%,1
$900.00,Central & Western,Entire home/apt,1 bath,8,1 bath,4,4,0,,100%,80%,369
$400.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,1,100,18%,36%,2
$788.00,Central & Western,Entire home/apt,1 bath,4,1 bath,2,1,5,100,18%,36%,2
